full_text,Kategori,text_lemmatized,text_tokenized
health lemon water lemon water health health healthy healthy healthy change magazine,6,health lemon water lemon water health health healthy healthy healthy change magazine,"['health', 'lemon', 'water', 'lemon', 'water', 'health', 'health', 'healthy', 'healthy', 'healthy', 'change', 'magazine']"
start every day healthy take care body mind n health health quote health health fact healthy healthy health tip health healthy,6,start every day healthy take care body mind n health health quote health health fact healthy healthy health tip health healthy,"['start', 'every', 'day', 'healthy', 'take', 'care', 'body', 'mind', 'n', 'health', 'health', 'quote', 'health', 'health', 'fact', 'healthy', 'healthy', 'health', 'tip', 'health', 'healthy']"
get six pack workout meal plan men n read article n six pack workout digital marketing veteran belly fat tony lee healthy healthy healthy challenge,6,get six pack workout meal plan men n read article n six pack workout digital marketing veteran belly fat tony lee healthy healthy healthy challenge,"['get', 'six', 'pack', 'workout', 'meal', 'plan', 'men', 'n', 'read', 'article', 'n', 'six', 'pack', 'workout', 'digital', 'marketing', 'veteran', 'belly', 'fat', 'tony', 'lee', 'healthy', 'healthy', 'healthy', 'challenge']"
answer n become healthy healthy life healthy digital marketing veteran tony lee health journey health journey healthy healthy healthy challenge healthy life happy life,6,answer n become healthy healthy life healthy digital marketing veteran tony lee health journey health journey healthy healthy healthy challenge healthy life happy life,"['answer', 'n', 'become', 'healthy', 'healthy', 'life', 'healthy', 'digital', 'marketing', 'veteran', 'tony', 'lee', 'health', 'journey', 'health', 'journey', 'healthy', 'healthy', 'healthy', 'challenge', 'healthy', 'life', 'happy', 'life']"
pause minute reader take break go reminder list remind take moment think body may health national health awareness month month health healthy living healthy living healthy,6,pause minute reader take break go reminder list remind take moment think body may health national health awareness month month health healthy living healthy living healthy,"['pause', 'minute', 'reader', 'take', 'break', 'go', 'reminder', 'list', 'remind', 'take', 'moment', 'think', 'body', 'may', 'health', 'national', 'health', 'awareness', 'month', 'month', 'health', 'healthy', 'living', 'healthy', 'living', 'healthy']"
n n citrus n fiber rich oatmeal n n green leafy health daily health awareness healthy,6,n n citrus n fiber rich oatmeal n n green leafy health daily health awareness healthy,"['n', 'n', 'citrus', 'n', 'fiber', 'rich', 'oatmeal', 'n', 'n', 'green', 'leafy', 'health', 'daily', 'health', 'awareness', 'healthy']"
may spread lymph body breast linked gene family n month health healthy living healthy living healthy breast examination,6,may spread lymph body breast linked gene family n month health healthy living healthy living healthy breast examination,"['may', 'spread', 'lymph', 'body', 'breast', 'linked', 'gene', 'family', 'n', 'month', 'health', 'healthy', 'living', 'healthy', 'living', 'healthy', 'breast', 'examination']"
take care one body get health health wellness health health fitness health coach health coaching health coach healthy healthy living healthy healthy,6,take care one body get health health wellness health health fitness health coach health coaching health coach healthy healthy living healthy healthy,"['take', 'care', 'one', 'body', 'get', 'health', 'health', 'wellness', 'health', 'health', 'fitness', 'health', 'coach', 'health', 'coaching', 'health', 'coach', 'healthy', 'healthy', 'living', 'healthy', 'healthy']"
proper nutrition plant based diet healthy via,6,proper nutrition plant based diet healthy via,"['proper', 'nutrition', 'plant', 'based', 'diet', 'healthy', 'via']"
three radon gas dangerous pet protect healthy,6,three radon gas dangerous pet protect healthy,"['three', 'radon', 'gas', 'dangerous', 'pet', 'protect', 'healthy']"
n live x health spot health news ya healthy lemon juice healthy healthy,6,n live x health spot health news ya healthy lemon juice healthy healthy,"['n', 'live', 'x', 'health', 'spot', 'health', 'news', 'ya', 'healthy', 'lemon', 'juice', 'healthy', 'healthy']"
may health national health awareness month month health healthy living healthy living healthy,6,may health national health awareness month month health healthy living healthy living healthy,"['may', 'health', 'national', 'health', 'awareness', 'month', 'month', 'health', 'healthy', 'living', 'healthy', 'living', 'healthy']"
body sending dont ignore consult doctor th today address health th total health doctor doctor visit doctor appointment non line doctor healthy n virtual doctor,6,body sending dont ignore consult doctor th today address health th total health doctor doctor visit doctor appointment non line doctor healthy n virtual doctor,"['body', 'sending', 'dont', 'ignore', 'consult', 'doctor', 'th', 'today', 'address', 'health', 'th', 'total', 'health', 'doctor', 'doctor', 'visit', 'doctor', 'appointment', 'non', 'line', 'doctor', 'healthy', 'n', 'virtual', 'doctor']"
long live king summer watermelon health stay healthy healthy living healthy digital digital te,6,long live king summer watermelon health stay healthy healthy living healthy digital digital te,"['long', 'live', 'king', 'summer', 'watermelon', 'health', 'stay', 'healthy', 'healthy', 'living', 'healthy', 'digital', 'digital', 'te']"
feel choose healthy way cope choose wisely healthy healthy life healthy happiness affirmation train affirmation day affirmation self confidence,6,feel choose healthy way cope choose wisely healthy healthy life healthy happiness affirmation train affirmation day affirmation self confidence,"['feel', 'choose', 'healthy', 'way', 'cope', 'choose', 'wisely', 'healthy', 'healthy', 'life', 'healthy', 'happiness', 'affirmation', 'train', 'affirmation', 'day', 'affirmation', 'self', 'confidence']"
healthy eating may seem game easily begin healthy eating journey try follow today net g g healthy healthy eating healthy eating healthy life healthy eating journey,6,healthy eating may seem game easily begin healthy eating journey try follow today net g g healthy healthy eating healthy eating healthy life healthy eating journey,"['healthy', 'eating', 'may', 'seem', 'game', 'easily', 'begin', 'healthy', 'eating', 'journey', 'try', 'follow', 'today', 'net', 'g', 'g', 'healthy', 'healthy', 'eating', 'healthy', 'eating', 'healthy', 'life', 'healthy', 'eating', 'journey']"
everyone drinking water important many us often forget much impact health heather brown many local news healthy stay hydrated,6,everyone drinking water important many u often forget much impact health heather brown many local news healthy stay hydrated,"['everyone', 'drinking', 'water', 'important', 'many', 'u', 'often', 'forget', 'much', 'impact', 'health', 'heather', 'brown', 'many', 'local', 'news', 'healthy', 'stay', 'hydrated']"
invest future making healthy today health stay healthy healthy living healthy digital digital te,6,invest future making healthy today health stay healthy healthy living healthy digital digital te,"['invest', 'future', 'making', 'healthy', 'today', 'health', 'stay', 'healthy', 'healthy', 'living', 'healthy', 'digital', 'digital', 'te']"
take time day even meditate go walk enjoy cup te ann self care healthy life healthy self confidence,6,take time day even meditate go walk enjoy cup te ann self care healthy life healthy self confidence,"['take', 'time', 'day', 'even', 'meditate', 'go', 'walk', 'enjoy', 'cup', 'te', 'ann', 'self', 'care', 'healthy', 'life', 'healthy', 'self', 'confidence']"
burn fitness ark n healthy n calorie burn n fitness motivation n fitness n fitness n healthy n fitness n fitness n healthy n burn fat n weight loss motivation fam n fitness community pi ration,6,burn fitness ark n healthy n calorie burn n fitness motivation n fitness n fitness n healthy n fitness n fitness n healthy n burn fat n weight loss motivation fam n fitness community pi ration,"['burn', 'fitness', 'ark', 'n', 'healthy', 'n', 'calorie', 'burn', 'n', 'fitness', 'motivation', 'n', 'fitness', 'n', 'fitness', 'n', 'healthy', 'n', 'fitness', 'n', 'fitness', 'n', 'healthy', 'n', 'burn', 'fat', 'n', 'weight', 'loss', 'motivation', 'fam', 'n', 'fitness', 'community', 'pi', 'ration']"
get motivation motivation healthy healthy healthy healthy health wellness healthy health coach health coaching,6,get motivation motivation healthy healthy healthy healthy health wellness healthy health coach health coaching,"['get', 'motivation', 'motivation', 'healthy', 'healthy', 'healthy', 'healthy', 'health', 'wellness', 'healthy', 'health', 'coach', 'health', 'coaching']"
pain fatigue bloating erased diet healthy via,6,pain fatigue bloating erased diet healthy via,"['pain', 'fatigue', 'bloating', 'erased', 'diet', 'healthy', 'via']"
important keep moving healthy healthy healthy healthy healthy healthy life health coach health coaching,6,important keep moving healthy healthy healthy healthy healthy healthy life health coach health coaching,"['important', 'keep', 'moving', 'healthy', 'healthy', 'healthy', 'healthy', 'healthy', 'healthy', 'life', 'health', 'coach', 'health', 'coaching']"
small role big impact learn lower risk heart disease nth total health non line doctor n doctor visit doctor appointment non line doctor healthy healthy n virtual doctor,6,small role big impact learn lower risk heart disease nth total health non line doctor n doctor visit doctor appointment non line doctor healthy healthy n virtual doctor,"['small', 'role', 'big', 'impact', 'learn', 'lower', 'risk', 'heart', 'disease', 'nth', 'total', 'health', 'non', 'line', 'doctor', 'n', 'doctor', 'visit', 'doctor', 'appointment', 'non', 'line', 'doctor', 'healthy', 'healthy', 'n', 'virtual', 'doctor']"
